7.1.1.1	Chapter 1: Studying Life
7.44.summary.38.3	The time between the stimulation and the animal awakening (sleep-to-wake latency) was determined for different stimulation frequencies.
7.44.summary.38.4	They repeated the same experiment in mice that were expressing the ChR2 gene but were injected with saline or high and low does of a drug that blocked the hypocretin receptor (HctR).
7.44.summary.38.5	Figure C shows the results of 15-ms light pulses over 10 seconds (1-30 Hz) and continuous light illumination for 10 seconds (ON).
7.44.summary.38.6	Asterisks indicate significant differences from controls.
7.44.summary.38.7	Figure C
7.44.summary.39.1	Questions
7.44.summary.40.1	1.
7.44.summary.40.2	Describe the effect of 1 second of light on the membrane potential and the firing rate of the hypocretin neurons.
7.44.summary.40.3	What do these results suggest about the nature of the ChR2 protein and its response to light?
7.44.summary.41.1	2.
7.44.summary.41.2	What is the evidence that light stimulation has a direct effect on the activity of the hypocretin neurons that are expressing ChR2?
7.44.summary.42.1	3.
7.44.summary.42.2	Describe the effect of light stimulation on the behavior of the mice.
7.44.summary.42.3	Did the frequency of stimulation matter?
7.44.summary.43.1	4.
7.44.summary.43.2	What is the evidence that the effects of the stimulation were due to release of hypocretin by the stimulated neurons?
7.44.summary.44.1	Go to LaunchPad for the eBook, LearningCurve, animations, activities, flashcards, and additional resources and assignments.
7.44.summary.45.1	End of Chapter 44.
7.45.1.1	The &#x201C;holes&#x201D; below the eyes of this rattlesnake are the pit organs that detect infrared radiation from the snake&#x2019;s preferred prey&#x2014;small rodents&#x2014;with precision, even in total darkness.
7.45.1.2	The forked tongue also provides information, picking up molecular signals that are detected by a specialized organ in the roof of the snake&#x2019;s mouth.
7.45.2.1	Key Concepts:
7.45.3.1	Sensory Receptor Cells Convert Stimuli into Action Potentials
7.45.4.1	Chemoreceptors Respond to Specific Molecules
7.45.5.1	Mechanoreceptors Respond to Physical Forces
7.45.6.1	Photoreceptors Respond to Light
7.45.7.1	investigatinglife
7.45.8.1	Seeing in the Dark
7.45.9.1	A rattlesnake can see to strike a running rodent in complete darkness.
7.45.9.2	How can this be, when &#x201C;seeing&#x201D; means using the eyes to detect light waves, and &#x201C;complete darkness&#x201D; means no light?
7.45.9.3	It is possible because these definitions are based on human capabilities.
7.45.9.4	What we call &#x201C;light&#x201D; is actually only a small portion (red, orange, yellow, green, blue, indigo, and violet) of the spectrum of electromagnetic radiation.
7.45.9.5	Other animals see wavelengths humans cannot.
7.45.9.6	Some insects, for example, perceive patterns on flowers that reflect ultraviolet wavelengths invisible to humans (see Figure 28.15).
7.45.9.7	Similarly, rattlesnakes &#x201C;see&#x201D; infrared wavelengths that we cannot (although at high enough levels of intensity, humans feel infrared wavelengths as heat).
7.45.10.1	It is not the snake&#x2019;s eyes that perceive infrared light.
7.45.10.2	Pit vipers, rattlesnakes, and their relatives have pit organs located between the nostril and the eye on each side of the skull that contain high densities of infrared-sensitive neurons.
7.45.10.3	The two pits are positioned in such a way that sensory receptor cells in the pits receive directional information.
7.45.10.4	Information from the pit organs goes to the same region of the brain as information from the eyes, so rattlesnakes actually do &#x201C;see&#x201D; the world in a range of electromagnetic radiation that is different from the human visual spectrum.
7.45.11.1	Our definition of silence is as human-oriented as our definition of darkness. &#x201C;Sound&#x201D; is actually pressure waves in the environment, and many animals are sensitive to pressure waves with frequencies, or pitches, we cannot hear.
7.45.11.2	Elephants communicate using sound waves that are below human hearing range; such long waves travel great distances, an advantage to large animals that roam over extensive areas.
7.45.11.3	Bats emit incredibly loud, brief sound pulses that are above our range of hearing.
7.45.11.4	A flying bat hears echoes of these pulses bouncing off objects in the environment and can therefore avoid obstacles and catch prey in total darkness.
7.45.12.1	&#x201C;Reality&#x201D; is what our eyes see, our ears hear, our noses smell, and what we touch and taste.
7.45.12.2	Humans sense only a limited range of the information available.
7.45.12.3	Animals with different ranges of sensitivity process different sources of information and perceive the world quite differently than we do.
7.45.12.4	A challenge for neurobiologists is to understand how neurons are adapted to detect different types of information in the environment.
7.45.13.1	How do pit vipers &#x201C;see&#x201D; in the dark?
7.45.14.1	Chapter 45 continues with
7.45.15.1	45.1  Sensory Receptor Cells Convert Stimuli into Action Potentials
7.45.1.1.1	Sensory transduction involves changes in membrane potentials
7.45.1.2.1	Sensory receptor proteins act on ion channels
7.45.1.3.1	Sensation depends on which neurons receive action potentials from sensory cells
7.45.1.4.1	Many receptors adapt to repeated stimulation
7.45.1.5.1	Sensory receptor cells, usually called sensors or receptors, transduce (convert) physical and chemical stimuli such as light and sound waves, pressure (e. g. , touch), and odorant and taste molecules into neural signals.
7.45.1.5.2	These signals are then transmitted to the central nervous system (CNS) for processing and interpretation.
7.45.1.5.3	The first step in this process of sensory transduction is a change in the membrane potential of the receptor cell in response to a specific type of stimulus.
7.45.1.6.1	focus your learning
7.45.1.7.1	Specific stimuli cause changes in membrane potentials of sensory cells.
7.45.1.8.1	Sensory receptors act directly or indirectly on ion channels in the cell membrane.
7.45.1.9.1	Responses to sensory information depend on the neural circuits they activate.
7.45.1.10.1	Receptors can adapt to constant stimulation.
7.45.1.1.1.1	Sensory transduction typically begins with a receptor protein that opens or closes ion channels in response to a specific stimulus such as heat, light, chemicals, mechanical force, or electric fields.
7.45.1.1.1.2	The resulting change in membrane permeability to ions alters the receptor cell&#x2019;s membrane potential.
7.45.1.1.1.3	A change in the membrane potential of a receptor cell in response to a stimulus is a receptor potential.
7.45.1.1.1.4	Receptor potentials are graded membrane potentials that spread over only short distances.
7.45.1.1.1.5	To signal over long distances in the nervous system, receptor potentials must generate action potentials, which they can do in two ways:
7.45.1.1.2.1	The receptor potential may trigger action potentials in the receptor cell itself.
7.45.1.1.3.1	The receptor potential may cause the receptor cell to release neurotransmitters that induce a postsynaptic neuron to generate action potentials.
7.45.1.1.4.1	A good model of how a receptor cell generates action potentials is the stretch receptor of a crayfish (Figure 45.1).
7.45.1.1.4.2	Stretching the muscle to which the stretch receptor is attached causes receptor potentials.
7.45.1.1.4.3	These receptor potentials spread to the base of the cell&#x2019;s axon, where they generate action potentials that travel down the axon to the CNS.
7.45.1.1.4.4	The rate at which action potentials are fired depends on the magnitude of the receptor potential; that magnitude, in turn, depends on how much the muscle is stretched.
7.45.1.1.4.5	Figure 45.1 Stimulating a Sensory Cell Produces a Receptor Potential
7.45.1.1.5.1	In a receptor cell that does not fire action potentials (such as the photoreceptors in the vertebrate eye), the spreading receptor potential reaches a presynaptic patch of cell membrane and induces the release of a neurotransmitter.
7.45.1.1.5.2	The intensity of the stimulus influences how much neurotransmitter is released.
7.45.1.1.5.3	That neurotransmitter binds to receptor proteins on an associated sensory neuron, altering its membrane potential and causing it to increase or decrease its rate of firing action potentials.
7.45.1.1.5.4	In a few cases, this second cell also does not generate action potentials, but simply changes the rate at which it releases neurotransmitter onto another neuron.
7.45.1.1.5.5	Eventually, however, the stimulation of a sensory cell is always coded as a change in firing of action potentials in a sensory circuit.
7.45.1.2.1.1	Sensory receptor proteins respond to stimuli by directly or indirectly opening or closing ion channels in the sensory cell (Figure 45.2), leading either to an action potential or to the release of neurotransmitter.
7.45.1.2.1.2	Those sensory receptor proteins that act directly on membrane potential are either ion channels themselves or directly affect the opening of an associated ion channel.
7.45.1.2.1.3	Examples are receptors that respond to physical force (mechanoreceptors) and those that respond to temperature (thermoreceptors).
7.45.1.2.1.4	Electroreceptors do not have receptor proteins, but their cell membranes are sensitive to voltage changes and respond to depolarization by opening voltage-gated Ca2+ channels, and the Ca2+ triggers neurotransmitter release.
7.45.1.2.1.5	Sensory receptor proteins that influence ion channels indirectly usually do so by activating G proteins and second messengers, as described in Key Concepts 7.2 and 7.3.
7.45.1.2.1.6	Examples are most chemoreceptors and photoreceptors.
7.45.1.2.1.7	Figure 45.2 Sensory Cell Membrane Receptor Proteins Respond to Stimuli
7.45.1.2.2.1	A recently discovered superfamily of receptor proteins is the focus of considerable research in an effort to identify the molecular mechanisms by which infrared signals are detected.
7.45.1.2.2.2	Transient receptor potential (TRP) channel proteins generate a large initial response to a stimulus and then gradually fade even as the stimulus remains constant.
7.45.1.2.2.3	Seven classes of TRP channels have been identified, along with about 28 different molecular structures.
7.45.1.2.2.4	Each type of TRP channel is specialized to respond to a different stimulus, such as stretch, pressure, temperature, light, and certain chemicals.
7.45.1.2.2.5	Some respond to both physical and chemical stimuli, such as one that responds to heat, capsaicin (an active ingredient in chili peppers), and wasabi.
7.45.1.2.2.6	Could a heat-sensitive TRP channel be responsible for the infrared-detection function of the pit organs of rattlesnakes?
7.45.1.2.2.7	You will pursue this question in Investigating Life: How Do Pit Vipers &#x201C;See&#x201D; in the Dark?
7.45.1.3.1.1	All sensory systems process information in the form of action potentials.
7.45.1.3.1.2	But the sensations we perceive&#x2014;heat, pressure, light, smell, sound&#x2014;differ because the messages from different kinds of sensory cells arrive at different places in the CNS.
7.45.1.3.1.3	Action potentials arriving in the visual cortex of the brain are interpreted as light, whereas those that arrive in the olfactory bulb are perceived as smells.
7.45.1.3.2.1	A small patch of skin on your arm contains some sensory receptor cells that increase their firing rates when the skin is warmed and others that increase their activity when the skin is cooled.
7.45.1.3.2.2	Other sensory cells in the same patch of skin respond to touch, irritants such as insect bites, and painful stimuli.
7.45.1.3.2.3	These receptor cells transmit their messages through axons that enter the CNS at the spinal cord.
7.45.1.3.2.4	The synapses made by those axons in the spinal cord and the subsequent pathways of transmission determine whether the stimulation of the skin on your arm is perceived as warmth, cold, touch, itch, or pain; even though the action potentials carried by all of these sensory axons are the same, the connectivity of each axon is specific for a given sensory modality.
7.45.1.3.2.5	The intensity of a given sensation is coded by the frequency of the action potentials.
7.45.1.3.3.1	Some sensory receptors transmit information about the body&#x2019;s internal conditions of which we are not consciously aware.
7.45.1.3.3.2	The brain continuously receives information about body temperature, the concentrations of carbon dioxide and oxygen in the blood, arterial pressure, muscle tension, and the position of the limbs.
7.45.1.3.3.3	All of this information is important for homeostasis but does not necessarily result in conscious sensation.
7.45.1.3.4.1	Some sensory receptor cells are assembled with other types of cells into sensory organs, such as eyes, ears, and noses, that enhance the ability of sensory cells to collect, filter, and amplify stimuli.
7.45.1.3.4.2	Sensory systems include the sensory cells, their associated organs, and the neural networks that process the information.
7.45.1.4.1.1	Some sensory receptor cells give gradually diminishing responses to maintained or repeated stimulation.
7.45.1.4.1.2	This phenomenon, known as sensory adaptation, enables an animal to ignore background or unchanging conditions while remaining sensitive to changes and new information.
7.45.1.4.1.3	(Note that this use of the term &#x201C;adaptation&#x201D; is different from its application in an evolutionary context. )
7.45.1.4.1.4	When you get dressed, you feel each item of clothing touch your skin, but the sensation of clothes touching your skin is not constantly on your mind throughout the day.
7.45.1.4.1.5	You are immediately aware of new sensations, however, such as your shoe coming untied or someone touching your back.
7.45.1.4.2.1	Some sensory receptor cells adapt very little or very slowly; examples are some types of pain receptors and the mechanoreceptors that control balance.
7.45.1.4.2.2	You do not want to ignore pain, which usually is signaling that something is wrong in your body, and to maintain equilibrium you must continuously know (albeit unconsciously) the tensions and forces on all of your joints and muscles.
7.45.1.4.3.1	investigatinglife
7.45.1.4.4.1	How Do Pit Vipers &#x201C;See&#x201D; in the Dark?
7.45.1.4.5.1	experiment
7.45.1.4.6.1	Original Paper: Gracheva, E. O. et al. 2010.
7.45.1.4.6.2	Molecular basis of infrared detection by snakes.
7.45.1.4.6.3	Nature 464: 1006&#x2013;1012.
7.45.1.4.7.1	Neurons of the pit organ have their cell bodies in a neural ganglion in the head&#x2014;the trigeminal ganglion (TG).
7.45.1.4.7.2	Sensory neurons conducting information from the body of the snake have their cell bodies in neural ganglia associated with the spinal cord&#x2014;the dorsal root ganglia (DRGs).
7.45.1.4.7.3	Any receptor protein that is involved in sensing heat by the pit organ or by temperature sensors in the skin should be expressed in the TG or the DRGs, respectively.
7.45.1.4.8.1	HYPOTHESIS Different transient receptor potential (TRP) channel proteins responsive to heat are expressed in the TG and the DRGs, and they have different properties.
7.45.1.4.9.1	METHOD
7.45.1.4.10.1	Many neurons in the TG of rattlesnakes innervate the pit organs, and therefore the RNA transcripts for any protein that is abundant in the pit organ nerve endings should be highly expressed in the TG.
7.45.1.4.10.2	Similarly, RNA transcripts for sensory receptor proteins in the skin of the body should be highly expressed in the DRGs.
7.45.1.4.10.3	Whole genome RNA sequencing (RNA-seq) was used to create the RNA profiles of the TG and the DRGs of the rattlesnake.
7.45.1.4.10.4	Of particular interest were specific TRP RNA reads (specific RNA sequences) that were differentially expressed in the TG and the DRGs.
7.45.1.4.10.5	If there are more reads for a certain TRP channel in the TG versus the DRGs, that TRP channel might play a role in the pit organ&#x2019;s ability to sense infrared radiation.
7.45.1.4.10.6	Because the range of read values was so large, the data are plotted as logarithmic values (log&#x2013;log plot).
7.45.1.4.11.1	RESULTS
7.45.1.4.12.1	CONCLUSIONS
7.45.1.4.13.1	TRPV1 and &#x201C;Other TRPs&#x201D; are expressed equally in the TG and the DRGs, so they probably are not responsible for the unique infrared-sensing properties of the pit organ.
7.45.1.4.14.1	TRPA1 is expressed more in the TG than in the DRGs.
7.45.1.4.14.2	This channel could therefore serve a unique function in the pit organ.
7.45.1.4.15.1	work with the data
7.45.1.4.16.1	The data from the experiment comparing TRP channel expression in the TG and the DRGs support the conclusion that the TRPA1 channel could be the infrared (IR) sensor in the pit organ.
7.45.1.4.16.2	Another piece of evidence would be finding that the TRPA1 gene is not highly expressed in the TG of snakes without pit organs, or that it is highly expressed in snakes not closely related to rattlesnakes but that have pit organs.
7.45.1.4.16.3	Accordingly, the investigators performed RNA-seq analysis of the TG and the DRGs of rat snakes (no pits) and pythons (pits).
7.45.1.4.17.1	RESULTS
7.45.1.4.18.1	(Simulated data, arbitrary units) Rat snake Python Channel TG DRGs TG DRGs TRPA1 105 110 900,000 50 TRPV1 85 90 15 9
7.45.1.4.19.1	QUESTIONS
7.45.1.4.20.1	Compare the relative expression of TRPV1 and TRPA1 in the TG and the DRGs of the rat snake (no pits) and the python (pits).
7.45.1.4.20.2	What is the major difference?
7.45.1.4.21.1	Explain how these results do or do not support the conclusion that the TRPA1 channel is the IR sensor in the pit organ.
7.45.1.4.22.1	What functional data on the TRPA1 channel would further support the conclusion that TRPA1 is the IR sensor in the pit organ?
7.45.1.4.23.1	A similar work with the data exercise may be assigned in LaunchPad.
7.45.1.4.24.1	45.1 recap
7.45.1.4.25.1	Sensory receptor cells have receptor proteins that respond to specific stimuli from the external or internal environment by directly or indirectly opening or closing ion channels, causing the generation of action potentials or neurotransmitter release in sensory neurons.
7.45.1.4.25.2	How the resulting information is processed and interpreted depends on the neural circuitry that is activated.
7.45.1.4.26.1	learning outcomes
7.45.1.4.27.1	You should be able to:
7.45.1.4.28.1	Describe the roles of receptor potentials and action potentials in sensory systems.
7.45.1.4.29.1	Explain how the same membrane event, an action potential, can result in sensations of heat, light, sound, touch, or taste.
7.45.1.4.30.1	Describe the various ways that environmental stimuli can generate receptor potentials.
7.45.1.4.31.1	Explain the functional significance of sensory adaptation.
7.45.1.4.32.1	In the crayfish stretch receptor, what creates the receptor potential?
7.45.1.4.32.2	Where and how does it stimulate an action potential?
7.45.1.4.33.1	How are we able to perceive action potentials&#x2014;all of which are essentially the same&#x2014;as different sensations?
7.45.1.4.34.1	Peppers have a distinctive flavor, but they also can be hot if they contain the molecule capsaicin.
7.45.1.4.34.2	Explain the difference in how the flavor versus the hotness of a pepper is sensed.
7.45.1.4.35.1	Why is adaptation or the lack thereof important in different sensory modalities?
7.45.1.4.36.1	Now that you have a general view of how sensory systems code and process information, you will next learn how sensory systems gather and filter stimuli, transduce specific stimuli into action potentials, and transmit action potentials to the CNS, which perceives them as different types of information.
7.45.1.4.37.1	Chapter 45 continues with
7.45.1.4.38.1	45.2 Chemoreceptors Respond to Specific Molecules
7.45.2.1.1	Olfaction is the sense of smell
7.45.2.2.1	Some chemoreceptors detect pheromones
7.45.2.3.1	The vomeronasal organ contains chemoreceptors
7.45.2.4.1	Gustation is the sense of taste
7.45.2.5.1	A colony of corals responds to a small amount of meat extract in seawater by extending its coral polyps and their tentacles in search of food; a solution of a single type of amino acid can stimulate this response.
7.45.2.5.2	Conversely, a small amount of seawater in which corals were crushed will stimulate a defensive retraction of the coral polyps.
7.45.2.5.3	Humans also react strongly to certain chemical stimuli.
7.45.2.5.4	When you smell freshly baked bread you salivate and feel hungry, and when you smell rotting meat you feel nauseated.
7.45.2.6.1	focus your learning
7.45.2.7.1	Many different chemoreceptors can be activated in different combinations and to different degrees, enabling discrimination of an enormous number of odorant and pheromone molecules.
7.45.2.8.1	Five classes of taste chemoreceptors have different mechanisms of membrane depolarization.
7.45.2.9.1	All animals receive information about chemical stimuli through chemoreceptors, which are receptor proteins that bind to specific molecules&#x2014;their ligands&#x2014;and are responsible for smell and taste.
7.45.2.9.2	Chemoreceptors are also responsible for monitoring some aspects of the internal environment, such as the level of carbon dioxide in the blood.
7.45.2.1.1.1	The sense of smell, olfaction, depends on chemoreceptors.
7.45.2.1.1.2	In vertebrates the olfactory receptors are neurons embedded in a layer of epithelial tissue in the uppermost region of the nasal cavity (Figure 45.3).
7.45.2.1.1.3	The dendrites of these neurons project as olfactory cilia on the surface of the nasal epithelium, and their axons extend through holes in the overlying bone into the olfactory bulb (the olfactory integration area of the brain).
7.45.2.1.1.4	A protective layer of mucus covers the nasal cavity epithelium.
7.45.2.1.1.5	Molecules from the environment must diffuse through this mucus to reach the receptor proteins on the olfactory cilia.
7.45.2.1.1.6	When you have a cold, the amount of mucus in your nose increases, and the epithelium swells.
7.45.2.1.1.7	With this in mind, you can easily understand why respiratory infections can cause you to lose your sense of smell.
7.45.2.1.2.1	Figure 45.3 Olfactory Receptors Communicate Information Directly to the Brain
7.45.2.1.3.1	An odorant is a molecule in the environment that binds to and activates an olfactory receptor protein on the cilia of olfactory receptor neurons (ORNs).
7.45.2.1.3.2	Different olfactory receptor proteins bind specific subsets of odorant molecules.
7.45.2.1.3.3	An odorant molecule binding to its receptor on an ORN activates a * G protein.
7.45.2.1.3.4	The G protein then activates an enzyme that causes an increase of a second messenger (cAMP in vertebrates) in the cytoplasm.
7.45.2.1.3.5	The second messenger binds to and opens cation channels in the ORN&#x2019;s cell membrane, causing an influx of Na+ into the ORN&#x2014;which then depolarizes to threshold and fires action potentials.
7.45.2.1.3.6	An interesting feature of ORNs is that they are continuously regenerated.
7.45.2.1.3.7	Because they are embedded in nasal epithelium that, like other epithelial linings, is regularly shed, ORNs have to be constantly replaced.
7.45.2.1.4.1	* connect the concepts Key Concept 7.2 describes how G protein-coupled receptors transmit signals from a variety of stimuli outside a cell to its interior.
7.45.2.1.4.2	Ligand binding of the receptor activates the G protein on the cytoplasmic surface of the membrane, which&#x2014;if bound by GTP&#x2014;will activate an effector.
7.45.2.1.5.1	The olfactory world has an enormous number of odors and a correspondingly large number of olfactory receptor proteins.
7.45.2.1.5.2	In the 1990s Linda Buck and Richard Axel discovered a family of about 1,000 genes in mice (about 3 percent of the mouse genome) that code for olfactory receptor proteins.
7.45.2.1.5.3	Each receptor protein that is expressed is found in a limited number of ORNs in the olfactory epithelium, and each ORN expresses just one receptor type.
7.45.2.1.5.4	The investigators matched specific gene products with the odorants they detect.
7.45.2.1.5.5	For their discoveries of the molecular nature of the olfactory system, Buck and Axel received a Nobel Prize in 2004.
7.45.2.1.6.1	Olfactory sensitivity enables discrimination of many more odorants than there are olfactory receptors.
7.45.2.1.6.2	An odorant molecule can be quite complex, and different regions of that molecule may bind to different receptor proteins.
7.45.2.1.6.3	The next stage of processing olfactory information is in the olfactory bulb, where axons from ORNs expressing the same receptor protein cluster together on olfactory bulb neurons, forming structures called glomeruli (see Figure 45.3).
7.45.2.1.6.4	A complex odorant molecule can activate a unique combination of glomeruli in the olfactory bulb, so an olfactory system with hundreds of different receptor proteins can discriminate an astronomically large number of smells.
7.45.2.1.6.5	The more odorant molecules that bind to ORNs, the greater the frequency of action potentials and thus the greater the intensity of the perceived smell.
7.45.2.1.7.1	Humans have a sensitive olfactory system, but in comparison with most mammals we depend far more on vision than on olfaction.
7.45.2.1.7.2	The nasal epithelium of a typical dog is 15&#x2013;20 times larger than a human&#x2019;s and has about 300 million odorant receptors, compared with about 6 million in the average human.
7.45.2.1.7.3	For some scents, the threshold sensitivity of the dog is 100,000 times lower; a dog&#x2019;s nose reveals a huge amount of information not available to people.
7.45.2.2.1.1	A specialized type of chemical signal used for communication among conspecifics (individuals of the same species) is called a pheromone.
7.45.2.2.1.2	Individual animals secrete pheromone molecules into the environment, triggering behavioral responses in other individuals of the species.
7.45.2.2.1.3	Pheromones may communicate alarm signals, mark food trails, or define territories, among many other uses.
7.45.2.2.1.4	Their function in mating and mate attraction especially illustrates the remarkable sensitivity of chemosensory systems, and the silkworm moth Bombyx mori is an extensively studied example.
7.45.2.2.2.1	To attract a mate, the female silkworm moth releases a pheromone called bombykol from a gland at the tip of her abdomen (Figure 45.4A).
7.45.2.2.2.2	The male silkworm moth has about 10,000 receptors for this molecule on each of his feathery antennae (Figure 45.4B).
7.45.2.2.2.3	A single molecule of bombykol may be sufficient to generate action potentials in the antennal nerve, which transmits the signal to the male&#x2019;s CNS.
7.45.2.2.2.4	The extreme sensitivity of the male bombykol receptors ensures that the sexual message sent by a female moth is likely to reach any male within a huge downwind area.
7.45.2.2.2.5	The rate of firing in the male&#x2019;s sensory nerves is proportional to the concentration of bombykol in the air, so by flying upwind he can follow an airborne concentration gradient to &#x201C;home in&#x201D; on the signaling female.
7.45.2.2.3.1	Figure 45.4 Pheromones Can Communicate over Great Distances
7.45.2.2.4.1	Q: Molecules have different diffusion coefficients.
7.45.2.2.4.2	Bombykol has a high diffusion coefficient.
7.45.2.2.4.3	How do you think its diffusion coefficient would compare with that of a territory-marking pheromone, and why might they be different?
7.45.2.3.1.1	The vomeronasal organ (VNO) is a small, paired tubular structure embedded in the nasal epithelium of amphibians, reptiles, and many mammals (although not humans).
7.45.2.3.1.2	In mammals the VNO is located on the septum dividing the two nostrils (see Figure 52.3) and has a pore that opens into the nasal cavity.
7.45.2.3.1.3	The VNO pulsates and draws a sample of nasal fluid over the chemoreceptors embedded in its walls.
7.45.2.3.1.4	The information from these chemoreceptors goes to an accessory olfactory bulb in the brain, and from there to brain regions involved in sexual and other instinctive behaviors.
7.45.2.3.1.5	The VNO of a rodent detects pheromones that signal the sex, strain, identity, and sexual receptivity of another individual.
7.45.2.3.2.1	In snakes the VNO opens into the roof of the mouth cavity.
7.45.2.3.2.2	Each time the snake&#x2019;s forked tongue darts in and out, the forks fit into the VNO openings and present the chemoreceptors located there with a sample of molecules from the surrounding air (see the chapter opening photo).
7.45.2.3.2.3	Thus the snake uses its tongue to smell its environment, not to taste it.
7.45.2.3.2.4	Why doesn&#x2019;t the snake simply use the flow of air to and from its lungs, as we do, to smell the environment?
7.45.2.3.2.5	In snakes, air flows to and from the lungs slowly (and can even stop entirely for long periods of time), but the tongue can dart in and out rapidly.
7.45.2.3.2.6	It is a quick source of olfactory information used in social communication and hunting prey.
7.45.2.4.1.1	In humans and other vertebrates, the sense of taste, gustation, depends on clusters of chemoreceptors called taste buds.
7.45.2.4.1.2	The taste buds of terrestrial vertebrates are confined to the mouth cavity, but some fish have taste buds in the skin that enhance their ability to sense their environment.
7.45.2.4.1.3	Some fish living in murky water are very sensitive to small amounts of amino acids in the water and can find food without the use of vision.
7.45.2.4.1.4	The duck-billed platypus, a prototherian mammal (see Figure 32.26B), has similar talents as a result of taste buds on the sensitive skin of its bill.
7.45.2.4.2.1	The human tongue has 5,000&#x2013;10,000 taste buds embedded in the epithelium.
7.45.2.4.2.2	Most of them are found on the sides of the papillae (Figure 45.5).
7.45.2.4.2.3	(Look at your tongue in a mirror&#x2014;the papillae make it look fuzzy. )
7.45.2.4.2.4	The outer surface of a taste bud has a pore that exposes the tips of the sensory receptor cells.
7.45.2.4.2.5	Microvilli (tiny hairlike projections) increase the surface area of these cells where their tips converge at the pore.
7.45.2.4.2.6	These chemoreceptor cells generate action potentials and release neurotransmitter at their bases, where they form synapses with sensory neurons that convey the signals to the CNS.
7.45.2.4.2.7	Figure 45.5 Taste Buds Are Clusters of Sensory Cells
7.45.2.4.3.1	The tongue does a lot of hard work, so its epithelium, along with cells of its taste buds, are shed and replaced at a rapid rate.
7.45.2.4.3.2	Individual taste bud cells last about 10 days before they are replaced, but the sensory neurons associated with them live on, constantly forming new synapses as new taste buds form.
7.45.2.4.4.1	Gustation begins with the membrane receptor proteins of the microvilli of the taste bud sensory cells (see Figure 45.5).
7.45.2.4.4.2	Humans perceive five taste classes: sweet, salty, sour, bitter, and umami.
7.45.2.4.4.3	However, taste buds can distinguish among a variety of sweet-tasting molecules and a variety of bitter-tasting molecules.
7.45.2.4.4.4	Umami is a savory, meaty taste that is stimulated by amino acids, including monosodium glutamate (MSG), a commonly used flavor enhancer.
7.45.2.4.4.5	Sweet, bitter, and umami tastes are the functions of a small family of G protein-coupled TRP channels.
7.45.2.4.4.6	Other TRP channels related to the ones you saw associated with heat sensation in Investigating Life: How Do Pit Vipers &#x201C;See&#x201D; in the Dark? are responsible for spicy/hot tastes.
7.45.2.4.4.7	Still other TRP channels that act as cold sensors are activated by minty, cool-tasting foods.
7.45.2.4.4.8	Saltiness receptor proteins allow Na+ to diffuse into taste bud sensory cells through open Na+ channels, depolarizing the sensory cell.
7.45.2.4.4.9	Sourness receptors are activated by a direct effect of H+ ions on Na+ channels.
7.45.2.4.5.1	Various selective pressures led to the evolution of diversity in gustatory receptors.
7.45.2.4.5.2	Receptors for bitter tastes may have evolved as protective mechanisms enabling animals to detect toxic plant compounds such as quinine, caffeine, and nicotine.
7.45.2.4.5.3	Because many such toxic compounds evolved in plants as protections against herbivorous predators, having a variety of receptors in those herbivores is a product of the continuous &#x201C;arms race&#x201D; between predators and prey (see Key Concept 55.1).
7.45.2.4.5.4	Also, a large number of molecules in food could indicate nutritional value, so a variety of receptors is of value.
7.45.2.4.5.5	The diversity of sweet receptors helps explain why it has been possible to invent many chemically distinct artificial sweeteners.
7.45.2.4.6.1	Regardless of the mechanism of taste transduction by the receptors of the taste buds, all these cells release neurotransmitter onto sensory neurons.
7.45.2.4.6.2	These neurons then generate action potentials that are conducted to the CNS, where they are interpreted as specific taste sensations.
7.45.2.4.6.3	The full complexity of the chemosensitivity that enables us to enjoy the subtle flavors of food comes from the combined activation of gustatory and olfactory receptors, which is why you may lose your sense of taste when you have a cold.
7.45.2.4.7.1	45.2 recap
7.45.2.4.8.1	All animals receive information about chemical stimuli through chemoreceptors, which have diverse structures and bind to a tremendous variety of ligands.
7.45.2.4.8.2	Chemoreceptors are the basis of the sensations of olfaction and gustation and the reception of pheromones.
7.45.2.4.8.3	They also monitor some aspects of an animal&#x2019;s internal environment.
7.45.2.4.9.1	learning outcomes
7.45.2.4.10.1	You should be able to:
7.45.2.4.11.1	Describe how a large but limited number of olfactory receptor proteins can discriminate a much larger number of odorant molecules, as well as their concentrations.
7.45.2.4.12.1	Explain how the five classes of taste receptors generate action potentials in their sensory neurons.
7.45.2.4.13.1	Different odorants have different cell surface receptors, but these receptors activate the same intracellular G protein signaling pathway.
7.45.2.4.13.2	How does the olfactory system discriminate different odors?
7.45.2.4.14.1	How does the olfactory system discriminate between the whiff of a skunk, a repulsive odor of skunk, and the smell of a skunk cabbage?
7.45.2.4.15.1	The concentration thresholds for sensing bitter tastes are lower than for salt or sweet.
7.45.2.4.15.2	Offer an evolutionary explanation for why this is so.
7.45.2.4.16.1	With only five classes of taste receptors, how can we discriminate so many different tastes?
7.45.2.4.17.1	You have now seen how chemoreceptors give rise to the sensations of smell and taste, and how some animals use chemoreception to communicate with others of their species.
7.45.2.4.17.2	Next we describe the sensory cells that respond to mechanical forces, including the vibrations you perceive as sound.
7.45.2.4.18.1	Chapter 45 continues with
7.45.2.4.19.1	45.3 Mechanoreceptors Respond to Physical Forces
7.45.3.1.1	Many different receptor cells respond to touch and pressure
